episode,avg_reward,noise_std
1,1.370683,0.298800
2,11.137757,0.297605
3,6.636762,0.296414
4,8.534386,0.295229
5,5.029538,0.294048
6,8.570314,0.292872
7,13.506161,0.291700
8,2.971229,0.290533
9,1.444916,0.289371
10,1.043901,0.288214
11,1.244428,0.287061
12,4.232586,0.285913
13,7.714997,0.284769
14,2.430184,0.283630
15,3.661701,0.282495
16,2.117835,0.281365
17,5.391036,0.280240
18,3.687161,0.279119
19,1.271162,0.278002
20,0.735543,0.276890
21,1.665899,0.275783
22,7.817682,0.274680
23,11.121909,0.273581
24,9.601120,0.272487
25,5.456735,0.271397
26,8.104030,0.270311
27,3.097224,0.269230
28,2.910564,0.268153
29,6.858205,0.267080
30,7.160093,0.266012
31,6.461847,0.264948
32,5.972062,0.263888
33,6.059476,0.262833
34,5.187748,0.261781
35,8.256257,0.260734
36,4.409834,0.259691
37,6.133753,0.258653
38,1.708365,0.257618
39,1.166102,0.256587
40,2.749844,0.255561
41,0.396607,0.254539
42,2.839647,0.253521
43,2.884487,0.252507
44,4.381886,0.251497
45,0.817411,0.250491
46,6.617463,0.249489
47,5.817223,0.248491
48,5.360525,0.247497
49,6.611714,0.246507
50,4.703654,0.245521
51,4.473858,0.244539
52,6.867849,0.243560
53,3.287956,0.242586
54,2.854178,0.241616
55,8.041871,0.240649
56,6.054018,0.239687
57,6.751128,0.238728
58,3.239935,0.237773
59,8.456252,0.236822
60,3.782073,0.235875
61,7.092190,0.234931
62,6.311415,0.233992
63,7.108653,0.233056
64,4.291956,0.232123
65,8.295028,0.231195
66,8.941673,0.230270
67,7.906718,0.229349
68,5.784947,0.228432
69,7.855146,0.227518
70,12.291831,0.226608
71,8.318598,0.225701
72,5.770693,0.224799
73,6.860290,0.223899
74,8.091795,0.223004
75,5.974364,0.222112
76,11.242040,0.221223
77,9.688417,0.220338
78,6.694197,0.219457
79,7.920727,0.218579
80,7.396826,0.217705
81,8.686264,0.216834
82,6.148304,0.215967
83,4.724992,0.215103
84,3.742533,0.214243
85,0.825210,0.213386
86,7.925143,0.212532
87,7.439498,0.211682
88,15.225528,0.210835
89,11.577290,0.209992
90,6.711544,0.209152
91,9.755200,0.208315
92,2.291606,0.207482
93,5.220899,0.206652
94,5.831880,0.205825
95,6.188995,0.205002
96,4.294042,0.204182
97,6.499704,0.203365
98,8.259104,0.202552
99,10.865335,0.201742
100,3.283560,0.200935
101,6.198113,0.200131
102,9.618831,0.199331
103,8.566792,0.198533
104,6.091642,0.197739
105,1.908204,0.196948
106,7.219771,0.196160
107,3.265052,0.195376
108,1.797030,0.194594
109,2.668397,0.193816
110,4.365619,0.193041
111,5.810832,0.192268
112,4.213324,0.191499
113,10.770168,0.190733
114,9.896754,0.189970
115,11.046552,0.189210
116,1.707258,0.188454
117,9.372045,0.187700
118,6.641486,0.186949
119,7.486500,0.186201
120,11.212703,0.185456
121,5.500551,0.184715
122,10.189702,0.183976
123,9.841369,0.183240
124,9.714927,0.182507
125,6.606115,0.181777
126,6.807391,0.181050
127,5.974327,0.180326
128,5.002463,0.179604
129,6.306385,0.178886
130,8.002211,0.178170
131,6.859392,0.177458
132,8.234008,0.176748
133,6.165881,0.176041
134,6.539689,0.175337
135,10.608919,0.174635
136,9.989029,0.173937
137,9.193617,0.173241
138,8.181154,0.172548
139,11.145341,0.171858
140,10.321708,0.171170
141,9.194187,0.170486
142,7.422124,0.169804
143,6.636834,0.169125
144,9.201360,0.168448
145,5.767826,0.167774
146,6.467897,0.167103
147,6.993933,0.166435
148,12.293826,0.165769
149,11.546604,0.165106
150,8.332264,0.164446
151,7.018268,0.163788
152,8.802071,0.163133
153,6.368413,0.162480
154,11.684445,0.161830
155,9.093561,0.161183
156,7.345325,0.160538
157,7.635153,0.159896
158,9.711699,0.159256
159,5.343446,0.158619
160,5.180622,0.157985
161,10.866699,0.157353
162,6.741253,0.156723
163,7.025195,0.156097
164,7.828480,0.155472
165,11.442472,0.154850
166,9.007151,0.154231
167,7.462840,0.153614
168,7.278625,0.153000
169,8.231927,0.152388
170,8.238747,0.151778
171,11.116105,0.151171
172,8.724504,0.150566
173,14.269382,0.149964
174,14.464545,0.149364
175,10.349700,0.148767
176,7.797304,0.148172
177,9.439068,0.147579
178,8.093540,0.146989
179,8.172038,0.146401
180,8.811867,0.145815
181,7.603564,0.145232
182,7.217533,0.144651
183,11.731595,0.144072
184,7.540935,0.143496
185,8.469749,0.142922
186,6.599857,0.142350
187,7.397239,0.141781
188,6.478902,0.141214
189,7.276321,0.140649
190,10.932885,0.140086
191,12.272022,0.139526
192,9.404424,0.138968
193,8.442719,0.138412
194,13.294426,0.137858
195,7.866429,0.137307
196,6.345631,0.136758
197,4.868225,0.136211
198,10.419820,0.135666
199,11.745603,0.135123
200,8.191032,0.134583
201,7.506538,0.134044
202,9.435063,0.133508
203,6.664352,0.132974
204,8.324997,0.132442
205,7.740933,0.131912
206,7.704013,0.131385
207,8.953380,0.130859
208,6.966251,0.130336
209,6.504529,0.129814
210,6.014495,0.129295
211,5.782204,0.128778
212,8.875076,0.128263
213,7.782807,0.127750
214,7.668314,0.127239
215,9.467723,0.126730
216,10.215983,0.126223
217,7.119435,0.125718
218,6.441585,0.125215
219,13.574113,0.124714
220,11.240441,0.124215
221,9.076299,0.123719
222,13.409985,0.123224
223,9.480129,0.122731
224,13.323683,0.122240
225,10.710323,0.121751
226,10.409903,0.121264
227,9.724433,0.120779
228,10.863521,0.120296
229,11.164331,0.119815
230,12.113467,0.119335
231,12.149905,0.118858
232,11.595575,0.118383
233,9.758941,0.117909
234,8.106238,0.117437
235,9.859912,0.116968
236,10.254775,0.116500
237,13.441047,0.116034
238,8.852014,0.115570
239,10.745881,0.115107
240,12.373591,0.114647
241,14.758398,0.114188
242,14.862298,0.113732
243,15.152092,0.113277
244,12.171587,0.112824
245,12.300218,0.112372
246,12.968932,0.111923
247,13.354249,0.111475
248,13.039467,0.111029
249,13.190594,0.110585
250,11.299074,0.110143
251,14.634028,0.109702
252,14.844145,0.109263
253,15.714157,0.108826
254,13.581875,0.108391
255,14.205938,0.107957
256,12.755093,0.107526
257,12.943353,0.107096
258,11.751063,0.106667
259,6.972369,0.106240
260,6.898272,0.105815
261,9.394098,0.105392
262,9.263805,0.104971
263,4.506133,0.104551
264,6.599331,0.104133
265,8.093182,0.103716
266,8.089014,0.103301
267,8.702893,0.102888
268,6.473561,0.102476
269,4.888404,0.102067
270,6.267609,0.101658
271,3.265186,0.101252
272,10.155563,0.100847
273,9.637005,0.100443
274,10.819095,0.100041
275,6.767587,0.099641
276,11.284519,0.099243
277,7.936382,0.098846
278,4.604323,0.098450
279,6.717902,0.098057
280,7.269205,0.097664
281,6.751455,0.097274
282,6.084342,0.096885
283,7.074778,0.096497
284,7.266194,0.096111
285,5.335881,0.095727
286,7.986530,0.095344
287,4.629913,0.094962
288,6.630382,0.094582
289,5.231385,0.094204
290,4.071158,0.093827
291,6.264956,0.093452
292,7.209152,0.093078
293,6.631236,0.092706
294,6.052792,0.092335
295,7.920971,0.091966
296,7.792058,0.091598
297,10.159253,0.091231
298,9.135591,0.090867
299,2.811638,0.090503
300,4.566540,0.090141
301,4.524926,0.089781
302,3.919578,0.089421
303,5.901417,0.089064
304,6.293108,0.088707
305,4.377498,0.088353
306,5.010015,0.087999
307,8.949362,0.087647
308,10.681601,0.087297
309,5.674161,0.086947
310,5.659137,0.086600
311,7.515360,0.086253
312,10.071336,0.085908
313,7.870036,0.085565
314,11.869032,0.085222
315,7.667548,0.084881
316,5.644235,0.084542
317,7.961593,0.084204
318,6.769355,0.083867
319,12.212357,0.083531
320,9.232461,0.083197
321,8.763498,0.082865
322,8.440101,0.082533
323,9.168414,0.082203
324,7.994358,0.081874
325,4.938171,0.081547
326,3.189118,0.081220
327,10.909068,0.080896
328,8.981933,0.080572
329,6.603361,0.080250
330,9.124681,0.079929
331,4.413699,0.079609
332,13.325217,0.079291
333,11.521411,0.078973
334,9.124634,0.078658
335,12.052953,0.078343
336,9.467273,0.078030
337,10.428604,0.077717
338,13.955953,0.077407
339,10.507913,0.077097
340,6.945360,0.076789
341,9.177940,0.076481
342,9.956302,0.076175
343,9.329346,0.075871
344,8.427096,0.075567
345,9.673723,0.075265
346,10.914430,0.074964
347,7.521030,0.074664
348,7.214491,0.074365
349,3.964960,0.074068
350,9.653431,0.073772
351,12.254693,0.073477
352,9.963208,0.073183
353,7.082157,0.072890
354,14.088999,0.072598
355,10.882153,0.072308
356,9.090758,0.072019
357,7.075401,0.071731
358,7.228635,0.071444
359,6.671753,0.071158
360,8.714871,0.070873
361,8.498915,0.070590
362,4.323862,0.070308
363,8.002641,0.070026
364,12.390710,0.069746
365,10.042944,0.069467
366,8.230864,0.069189
367,11.538928,0.068913
