episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio
1,0.200000,1.984000,3,0.100000,0.160000
2,0.188000,1.572000,2,0.054000,0.090000
3,0.300000,2.618000,5,0.130000,0.205000
4,0.274000,1.142000,3,0.094000,0.120000
5,0.482000,1.218000,3,0.118000,0.175000
6,0.464000,0.472000,2,0.078000,0.170000
7,0.290000,0.758000,3,0.110000,0.185000
8,0.046000,0.022000,2,0.030000,0.065000
9,0.032000,0.842000,1,0.024000,0.035000
10,0.176000,0.772000,2,0.054000,0.090000
11,0.110000,0.800000,1,0.028000,0.050000
12,0.328000,1.002000,5,0.104000,0.165000
13,0.246000,0.636000,2,0.082000,0.155000
14,0.142000,0.982000,2,0.050000,0.080000
15,0.110000,0.008000,2,0.038000,0.080000
16,0.070000,0.786000,2,0.052000,0.075000
17,0.098000,1.726000,3,0.048000,0.065000
18,0.116000,0.644000,2,0.052000,0.080000
19,0.312000,0.712000,1,0.048000,0.095000
20,0.140000,1.522000,3,0.062000,0.090000
21,0.056000,0.770000,1,0.022000,0.035000
22,0.042000,0.830000,1,0.020000,0.030000
23,0.000000,0.000000,0,0.000000,0.000000
24,0.034000,0.312000,2,0.026000,0.040000
25,0.194000,1.276000,4,0.098000,0.150000
26,0.542000,1.072000,4,0.106000,0.200000
27,0.060000,0.294000,1,0.030000,0.045000
28,0.014000,0.932000,1,0.018000,0.020000
29,0.380000,0.636000,3,0.082000,0.180000
30,0.008000,0.942000,1,0.016000,0.015000
31,0.168000,0.816000,1,0.042000,0.075000
32,0.408000,0.718000,4,0.118000,0.170000
33,0.028000,0.694000,1,0.026000,0.035000
34,0.072000,0.900000,1,0.024000,0.040000
35,0.230000,0.686000,2,0.084000,0.155000
36,0.228000,1.436000,3,0.090000,0.150000
37,0.586000,0.832000,4,0.152000,0.265000
38,0.000000,0.000000,0,0.000000,0.000000
39,0.218000,1.220000,2,0.076000,0.130000
40,0.244000,1.132000,2,0.064000,0.115000
41,0.180000,0.890000,2,0.044000,0.115000
42,0.176000,0.628000,2,0.082000,0.145000
43,0.000000,0.000000,0,0.000000,0.000000
44,0.130000,0.562000,3,0.058000,0.100000
45,0.070000,1.676000,2,0.052000,0.075000
46,0.032000,0.912000,1,0.022000,0.030000
47,0.278000,0.996000,3,0.112000,0.200000
48,0.000000,0.000000,0,0.000000,0.000000
49,0.230000,1.212000,3,0.096000,0.170000
50,0.000000,0.000000,0,0.000000,0.000000
51,0.090000,0.750000,1,0.026000,0.045000
52,0.366000,1.026000,3,0.086000,0.165000
53,0.246000,1.844000,4,0.092000,0.205000
54,0.234000,1.722000,2,0.064000,0.115000
55,0.012000,0.840000,1,0.014000,0.015000
56,0.298000,1.094000,2,0.076000,0.140000
57,0.132000,0.720000,2,0.066000,0.105000
58,0.008000,0.002000,1,0.008000,0.015000
59,0.368000,1.226000,3,0.130000,0.220000
60,0.312000,0.288000,2,0.090000,0.185000
61,0.562000,1.186000,3,0.160000,0.300000
62,0.040000,1.612000,3,0.046000,0.050000
63,0.270000,1.026000,4,0.112000,0.195000
64,0.332000,1.274000,4,0.108000,0.195000
65,0.078000,1.442000,2,0.044000,0.065000
66,0.208000,1.296000,2,0.076000,0.135000
67,0.020000,0.710000,1,0.016000,0.020000
68,0.288000,0.718000,2,0.092000,0.115000
69,0.000000,0.000000,0,0.000000,0.000000
70,0.020000,0.940000,1,0.016000,0.020000
71,0.086000,1.782000,2,0.042000,0.060000
72,0.236000,1.676000,3,0.068000,0.120000
73,0.072000,0.570000,1,0.024000,0.040000
74,0.130000,1.708000,2,0.068000,0.110000
75,0.012000,0.000000,1,0.006000,0.015000
76,0.382000,1.160000,4,0.104000,0.180000
77,0.538000,1.054000,2,0.140000,0.275000
78,0.172000,1.522000,3,0.070000,0.110000
79,0.182000,0.744000,2,0.060000,0.100000
80,0.300000,1.004000,2,0.082000,0.155000
81,0.188000,0.242000,2,0.050000,0.120000
82,0.510000,1.276000,5,0.148000,0.260000
83,0.018000,0.008000,1,0.016000,0.025000
84,0.238000,1.460000,2,0.056000,0.100000
85,0.012000,0.520000,1,0.014000,0.015000
86,0.178000,1.704000,3,0.076000,0.120000
87,0.194000,1.616000,3,0.084000,0.130000
88,0.000000,0.000000,0,0.000000,0.000000
89,0.162000,0.392000,1,0.044000,0.085000
90,0.000000,0.000000,0,0.000000,0.000000
91,0.000000,0.000000,0,0.000000,0.000000
92,0.550000,2.030000,4,0.136000,0.205000
93,0.018000,0.912000,1,0.020000,0.025000
94,0.238000,1.418000,5,0.112000,0.160000
95,0.196000,1.498000,2,0.066000,0.110000
96,0.098000,0.594000,1,0.042000,0.075000
97,0.152000,0.934000,2,0.058000,0.095000
98,0.240000,0.750000,1,0.038000,0.080000
99,0.022000,0.002000,1,0.012000,0.025000
100,0.304000,1.770000,4,0.092000,0.150000
101,0.042000,0.170000,1,0.020000,0.030000
102,0.140000,0.612000,1,0.040000,0.130000
103,0.020000,0.860000,1,0.016000,0.020000
104,0.440000,1.554000,3,0.102000,0.185000
105,0.278000,1.842000,4,0.098000,0.160000
106,0.372000,1.162000,3,0.094000,0.150000
107,0.408000,0.386000,2,0.096000,0.205000
108,0.156000,0.860000,1,0.032000,0.060000
109,0.138000,0.626000,1,0.038000,0.065000
110,0.348000,0.846000,3,0.102000,0.180000
111,0.444000,0.028000,1,0.104000,0.210000
112,0.044000,0.002000,1,0.016000,0.035000
113,0.222000,0.732000,2,0.060000,0.105000
114,0.056000,1.652000,2,0.038000,0.050000
115,0.226000,1.602000,3,0.084000,0.145000
116,0.036000,0.902000,1,0.024000,0.035000
117,0.524000,0.970000,3,0.112000,0.215000
118,0.042000,0.824000,1,0.030000,0.045000
119,0.128000,1.422000,2,0.048000,0.075000
120,0.316000,1.252000,2,0.064000,0.115000
121,0.282000,1.836000,3,0.092000,0.155000
122,0.226000,0.568000,3,0.102000,0.205000
123,0.722000,0.460000,4,0.174000,0.330000
124,0.450000,1.334000,5,0.156000,0.195000
125,0.426000,0.606000,2,0.112000,0.215000
126,0.526000,0.544000,3,0.132000,0.210000
127,0.324000,0.602000,2,0.092000,0.165000
128,0.856000,0.848000,3,0.106000,0.190000
129,0.382000,1.162000,3,0.116000,0.220000
130,0.026000,0.942000,2,0.022000,0.030000
131,0.166000,0.876000,3,0.092000,0.135000
132,0.072000,0.830000,1,0.024000,0.040000
133,0.042000,0.686000,1,0.036000,0.090000
134,0.096000,0.850000,2,0.038000,0.055000
135,1.120000,1.140000,4,0.240000,0.400000
136,0.272000,0.954000,3,0.084000,0.140000
137,0.110000,0.460000,2,0.042000,0.065000
138,0.118000,0.856000,2,0.070000,0.105000
139,0.146000,1.366000,2,0.050000,0.075000
140,0.276000,1.306000,4,0.108000,0.175000
141,0.142000,0.592000,2,0.052000,0.085000
142,0.128000,0.432000,2,0.054000,0.090000
143,0.512000,1.088000,3,0.140000,0.250000
144,0.184000,0.414000,2,0.056000,0.155000
145,0.032000,0.826000,1,0.024000,0.075000
146,1.138000,0.444000,2,0.116000,0.240000
147,0.156000,0.650000,1,0.032000,0.060000
148,0.148000,1.066000,2,0.064000,0.105000
149,0.308000,1.450000,3,0.078000,0.135000
150,0.280000,1.134000,2,0.070000,0.125000
151,0.338000,0.938000,4,0.110000,0.280000
152,0.182000,1.056000,3,0.084000,0.140000
