episode,avg_reward,noise_std
1,-0.663183,0.298800
2,5.450304,0.297605
3,12.136074,0.296414
4,18.060976,0.295229
5,11.154960,0.294048
6,16.540932,0.292872
7,15.301550,0.291700
8,2.819783,0.290533
9,16.074119,0.289371
10,12.760380,0.288214
11,1.788290,0.287061
12,12.944132,0.285913
13,6.132622,0.284769
14,-0.039427,0.283630
15,8.612137,0.282495
16,3.742465,0.281365
17,8.301843,0.280240
18,16.481266,0.279119
19,11.426992,0.278002
20,0.953907,0.276890
21,20.042669,0.275783
22,17.253898,0.274680
23,4.853760,0.273581
24,20.019650,0.272487
25,0.460064,0.271397
26,2.107068,0.270311
27,16.851372,0.269230
28,10.964774,0.268153
29,25.594801,0.267080
30,4.115569,0.266012
31,13.984620,0.264948
32,25.625183,0.263888
33,4.430984,0.262833
34,1.991265,0.261781
35,9.229385,0.260734
36,10.160189,0.259691
37,4.260251,0.258653
38,7.189172,0.257618
39,-0.204021,0.256587
40,4.787090,0.255561
41,0.524248,0.254539
42,4.014171,0.253521
43,2.982501,0.252507
44,-2.858339,0.251497
45,10.779825,0.250491
46,10.790393,0.249489
47,4.068635,0.248491
48,7.076709,0.247497
49,2.390583,0.246507
50,3.428813,0.245521
51,0.456427,0.244539
52,-0.741829,0.243560
53,1.849192,0.242586
54,1.518505,0.241616
55,11.075674,0.240649
56,4.435430,0.239687
57,2.802777,0.238728
58,3.669555,0.237773
59,8.324539,0.236822
60,1.044632,0.235875
61,8.917762,0.234931
62,7.466212,0.233992
63,6.330953,0.233056
64,8.679804,0.232123
65,9.199031,0.231195
66,11.675159,0.230270
67,1.403792,0.229349
68,4.881556,0.228432
69,8.156655,0.227518
70,2.965497,0.226608
71,1.151786,0.225701
72,1.334745,0.224799
73,1.081306,0.223899
74,8.101191,0.223004
75,14.786043,0.222112
76,3.026778,0.221223
77,13.064258,0.220338
78,5.763082,0.219457
79,14.227299,0.218579
80,0.439004,0.217705
81,13.907821,0.216834
82,15.368009,0.215967
83,6.264978,0.215103
84,4.691805,0.214243
85,14.944197,0.213386
86,14.276392,0.212532
87,8.084342,0.211682
88,9.599979,0.210835
89,20.244916,0.209992
90,-4.223392,0.209152
91,2.062432,0.208315
92,5.628402,0.207482
93,4.927323,0.206652
94,6.192461,0.205825
95,13.624355,0.205002
96,14.065014,0.204182
97,1.393575,0.203365
98,1.885656,0.202552
99,5.576462,0.201742
100,6.152028,0.200935
101,5.981219,0.200131
102,6.521043,0.199331
103,-1.690260,0.198533
104,7.455728,0.197739
105,3.092253,0.196948
106,3.251473,0.196160
107,4.112317,0.195376
108,6.705924,0.194594
