episode,avg_reward,avg_r_info,avg_r_track,avg_r_action,avg_r_boundary,avg_r_collision,avg_r_uncertainty,clip_ratio,acquire,keep,lost,unlock,reacquire
1,-254.323237,0.000000,-0.238826,-0.002703,-3.103356,0.000000,0.098906,0.576000,5,32,21,5,0
2,-158.759119,-0.011627,-0.038750,-0.002781,-2.171594,-0.019097,0.184038,0.358000,5,40,24,5,0
3,-130.124055,-0.013885,-0.080130,-0.002918,-1.976886,0.000000,0.139498,0.362000,4,26,18,4,0
4,-149.826377,-0.000000,-0.054615,-0.002847,-1.887907,0.000000,0.111071,0.316000,6,36,25,6,0
5,-127.409796,-0.002041,-0.080376,-0.003243,-1.661062,0.000000,0.165703,0.256000,6,34,34,6,1
6,-72.416031,-0.072080,-0.014270,-0.004013,-1.137216,0.000000,0.209345,0.252000,2,11,9,2,0
7,-87.804511,-0.080871,-0.302787,-0.014209,-0.679717,0.000000,0.188046,0.210000,3,47,19,3,0
8,-26.939113,-0.035681,-0.069820,-0.025110,-0.327116,0.000000,0.086569,0.154000,2,20,12,2,0
9,-47.228016,-0.000000,-0.127782,-0.021372,-0.727513,0.000000,0.156341,0.262000,2,13,12,2,1
10,-27.416456,-0.085649,-0.081886,-0.024495,-0.251926,0.000000,0.115937,0.198000,4,21,19,4,0
11,-33.162932,-0.149492,-0.127579,-0.020465,-0.340211,0.000000,0.099567,0.192000,2,7,8,2,0
12,-62.040002,-0.138155,-0.129860,-0.019089,-0.720504,0.000000,0.110714,0.194000,4,21,14,3,0
13,-36.936202,-0.109921,-0.053806,-0.021545,-0.455621,0.000000,0.123086,0.190000,3,7,10,2,0
14,-18.489389,-0.324252,0.131048,-0.026596,-0.270415,0.000000,0.194232,0.232000,3,43,14,2,0
15,-23.320188,-0.138155,-0.131301,-0.022993,-0.375188,0.000000,0.122986,0.228000,4,34,14,3,0
16,-45.910233,-0.107649,0.036500,-0.021393,-0.412070,0.000000,0.071238,0.134000,4,26,16,3,0
17,-37.700897,-0.027726,-0.055772,-0.021601,-0.648945,0.000000,0.152099,0.214000,2,11,4,1,0
18,-28.995550,-0.083464,-0.013958,-0.021222,-0.642057,0.000000,0.204461,0.302000,1,9,7,1,0
19,-43.965570,-0.063312,-0.071030,-0.022473,-0.536750,0.000000,0.131799,0.176000,3,15,15,3,0
20,-61.492837,-0.035359,-0.105210,-0.021020,-0.651368,0.000000,0.095317,0.136000,3,22,10,2,0
21,-8.671723,-0.026668,-0.048624,-0.023766,-0.283475,0.000000,0.134605,0.150000,3,20,16,3,0
22,0.512382,-0.128117,-0.022574,-0.025338,-0.270563,0.000000,0.201431,0.286000,3,16,12,3,0
23,-14.913995,-0.000000,0.095902,-0.027414,-0.296369,0.000000,0.199758,0.250000,3,33,15,2,0
24,-8.785100,-0.152018,-0.010773,-0.026871,-0.395236,0.000000,0.181683,0.272000,3,18,8,2,0
25,-14.404995,-0.133806,-0.017846,-0.026042,-0.450784,0.000000,0.208813,0.296000,2,16,11,2,0
26,-22.234087,-0.305010,-0.021252,-0.025215,-0.488893,0.000000,0.236211,0.312000,3,11,4,1,0
27,-28.832830,-0.029691,-0.067140,-0.026581,-0.506288,0.000000,0.147912,0.238000,2,15,8,2,0
28,-9.825082,-0.105607,-0.121960,-0.027492,-0.248164,0.000000,0.171228,0.210000,2,18,8,1,0
29,8.660233,-0.222834,0.022861,-0.028176,-0.226884,0.000000,0.193263,0.284000,2,6,8,1,0
30,-12.008008,-0.056914,-0.179346,-0.028471,-0.230143,0.000000,0.111454,0.180000,3,42,11,2,0
31,-22.967465,-0.079521,-0.031432,-0.024978,-0.457018,0.000000,0.221215,0.284000,1,7,5,1,0
32,-22.842404,-0.000000,-0.104354,-0.032588,-0.191384,0.000000,0.094056,0.192000,4,41,16,3,0
33,-2.815367,-0.129545,-0.089218,-0.027623,-0.209722,0.000000,0.227456,0.250000,3,12,14,2,0
34,-10.771235,-0.118053,-0.103983,-0.031813,-0.169396,0.000000,0.126486,0.190000,5,32,22,5,0
35,11.526980,-0.153940,-0.097832,-0.031859,-0.156494,0.000000,0.164959,0.222000,3,12,12,3,0
36,3.652197,-0.126479,-0.046379,-0.030912,-0.163487,0.000000,0.199344,0.234000,3,26,13,2,0
37,6.382789,-0.086081,0.172948,-0.032118,-0.155607,0.000000,0.137135,0.202000,6,34,29,5,1
38,-3.253934,-0.103296,-0.071211,-0.030904,-0.153924,0.000000,0.191398,0.190000,3,22,16,3,1
39,-12.312891,-0.138381,-0.077266,-0.027315,-0.264035,0.000000,0.185434,0.262000,2,10,9,2,0
40,-33.601499,-0.144144,-0.225981,-0.029639,-0.273045,0.000000,0.122087,0.222000,4,25,18,4,0
