episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio
1,0.284000,2.852000,5,0.116000,0.175000
2,0.424000,3.368000,5,0.138000,0.155000
3,0.220000,2.614000,4,0.096000,0.120000
4,0.442000,3.062000,6,0.134000,0.180000
5,0.248000,3.444000,7,0.150000,0.175000
6,0.090000,1.602000,2,0.044000,0.055000
7,0.476000,1.584000,3,0.138000,0.275000
8,0.128000,1.368000,2,0.068000,0.110000
9,0.106000,0.680000,3,0.056000,0.080000
10,0.168000,2.016000,4,0.088000,0.125000
11,0.074000,1.490000,2,0.034000,0.045000
12,0.156000,2.054000,4,0.078000,0.120000
13,0.064000,1.556000,3,0.040000,0.050000
14,0.364000,0.382000,3,0.120000,0.230000
15,0.416000,0.674000,4,0.104000,0.190000
16,0.226000,1.664000,4,0.092000,0.175000
17,0.098000,0.810000,2,0.034000,0.065000
18,0.040000,0.766000,1,0.034000,0.050000
19,0.110000,1.616000,3,0.066000,0.090000
20,0.224000,1.416000,3,0.070000,0.125000
21,0.158000,1.620000,3,0.078000,0.115000
22,0.152000,1.400000,3,0.062000,0.095000
23,0.278000,1.176000,3,0.102000,0.180000
24,0.170000,1.110000,3,0.058000,0.105000
25,0.108000,1.576000,2,0.058000,0.055000
26,0.096000,0.780000,3,0.036000,0.055000
27,0.162000,0.700000,2,0.050000,0.085000
28,0.100000,0.828000,2,0.056000,0.100000
29,0.028000,0.820000,2,0.032000,0.040000
30,0.768000,0.746000,3,0.112000,0.225000
31,0.048000,0.802000,1,0.026000,0.040000
32,0.352000,0.660000,4,0.122000,0.225000
33,0.106000,1.444000,3,0.058000,0.075000
34,0.384000,1.464000,5,0.118000,0.185000
35,0.116000,1.500000,3,0.054000,0.075000
36,0.192000,0.776000,3,0.084000,0.145000
37,0.268000,1.412000,7,0.140000,0.215000
38,0.200000,0.730000,4,0.084000,0.135000
39,0.074000,1.542000,2,0.042000,0.060000
40,0.228000,1.334000,4,0.094000,0.145000
41,0.188000,1.412000,3,0.074000,0.145000
42,0.186000,1.556000,4,0.088000,0.130000
43,0.184000,2.052000,4,0.086000,0.150000
44,0.226000,1.316000,5,0.110000,0.195000
45,0.116000,0.652000,3,0.064000,0.095000
46,0.324000,0.692000,3,0.078000,0.190000
47,0.086000,1.522000,3,0.048000,0.075000
48,0.064000,1.108000,3,0.064000,0.080000
49,0.486000,1.300000,3,0.092000,0.170000
50,0.184000,1.432000,5,0.118000,0.165000
51,0.200000,1.410000,3,0.070000,0.115000
52,0.632000,0.468000,3,0.112000,0.220000
53,0.254000,1.130000,6,0.136000,0.205000
54,0.188000,1.392000,3,0.074000,0.120000
55,0.298000,1.824000,5,0.104000,0.170000
56,0.388000,1.136000,5,0.130000,0.280000
57,0.232000,1.598000,6,0.122000,0.185000
58,0.312000,1.594000,3,0.096000,0.170000
59,0.464000,0.736000,3,0.096000,0.175000
60,0.056000,0.820000,1,0.022000,0.035000
61,0.124000,1.086000,4,0.086000,0.120000
62,0.484000,0.844000,4,0.128000,0.200000
63,0.298000,1.146000,4,0.124000,0.215000
64,0.300000,1.442000,5,0.136000,0.230000
65,0.128000,1.062000,3,0.064000,0.095000
66,0.344000,1.520000,6,0.148000,0.230000
67,0.228000,1.488000,4,0.102000,0.160000
68,0.364000,1.774000,6,0.136000,0.190000
69,0.230000,2.124000,3,0.080000,0.130000
70,0.490000,1.134000,3,0.110000,0.205000
