episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio,avg_r_info,avg_r_uncertainty,avg_r_track,avg_r_action,avg_r_collision,avg_r_out,avg_total_raw
1,0.114000,1.720000,3,0.054000,0.075000,-0.018060,0.001202,-0.053216,-0.003263,0.000000,-2.362355,-2.435692
2,0.798000,2.460000,4,0.132000,0.240000,-0.020096,0.001013,-0.090551,-0.003105,0.000000,-2.591098,-2.703837
3,0.172000,1.580000,3,0.064000,0.100000,-0.000000,0.003028,-0.101023,-0.003105,0.000000,-2.243317,-2.344417
4,0.166000,1.850000,3,0.064000,0.100000,-0.027352,0.003138,-0.031334,-0.003493,0.000000,-2.121206,-2.180247
5,0.284000,1.950000,5,0.104000,0.150000,-0.016151,0.002569,-0.074744,-0.003173,0.000000,-2.204577,-2.296076
6,0.156000,1.660000,3,0.064000,0.100000,-0.045991,0.001616,-0.038680,-0.004180,0.000000,-1.141578,-1.228812
7,0.528000,1.080000,7,0.146000,0.235000,-0.059915,0.002751,-0.073265,-0.018052,-0.000514,-0.500333,-0.649327
8,0.152000,1.500000,3,0.054000,0.120000,-0.106679,0.002481,-0.025165,-0.020790,0.000000,-0.481673,-0.631827
9,0.166000,1.000000,2,0.050000,0.085000,-0.044075,0.004704,0.006293,-0.020237,0.000000,-0.332117,-0.385432
10,0.296000,2.930000,6,0.108000,0.170000,-0.125273,0.002474,-0.062960,-0.021625,0.000000,-1.277601,-1.484986
11,0.226000,0.980000,4,0.072000,0.115000,-0.155550,0.003831,0.066542,-0.029652,0.000000,-0.162519,-0.277348
12,0.238000,0.790000,2,0.056000,0.100000,-0.045453,0.003276,-0.098971,-0.023783,0.000000,-0.427016,-0.591947
13,0.086000,0.810000,2,0.040000,0.060000,-0.019612,0.003390,-0.043326,-0.023615,0.000000,-0.486213,-0.569376
14,0.682000,1.310000,5,0.134000,0.240000,-0.000000,0.002280,0.017296,-0.026125,0.000000,-0.240820,-0.247369
15,0.114000,0.066000,3,0.046000,0.075000,-0.138155,0.004785,-0.044426,-0.022285,0.000000,-0.422625,-0.622706
16,0.172000,1.700000,5,0.082000,0.125000,-0.138155,0.005032,0.001364,-0.021711,0.000000,-0.414968,-0.568440
17,0.672000,1.340000,5,0.128000,0.240000,-0.128038,0.003121,0.041315,-0.025624,0.000000,-0.267899,-0.377125
18,0.490000,1.810000,4,0.114000,0.205000,-0.209357,0.003561,0.044639,-0.029047,0.000000,-0.229234,-0.419439
19,0.222000,0.662000,2,0.054000,0.100000,-0.022746,0.005109,-0.030244,-0.026779,0.000000,-0.383111,-0.457771
20,0.244000,1.630000,3,0.068000,0.110000,-0.044070,0.002517,-0.051370,-0.027672,0.000000,-0.408762,-0.529357
21,0.072000,0.002000,1,0.018000,0.040000,-0.014421,0.005169,0.072768,-0.025816,0.000000,-0.346830,-0.309131
22,0.352000,1.890000,4,0.092000,0.155000,-0.122409,0.004750,0.027788,-0.019423,0.000000,-0.838973,-0.948267
23,0.150000,2.120000,5,0.076000,0.110000,-0.000313,0.001589,-0.043527,-0.020008,0.000000,-0.512300,-0.574559
24,0.110000,3.300000,5,0.076000,0.075000,-0.096509,0.003989,-0.035321,-0.025291,0.000000,-0.446692,-0.599824
25,0.072000,1.350000,2,0.038000,0.055000,-0.078856,0.004470,-0.016682,-0.022941,0.000000,-0.636142,-0.750150
26,0.056000,0.430000,1,0.022000,0.035000,-0.119925,0.004075,0.102783,-0.022993,0.000000,-0.651463,-0.687522
