episode,avg_reward,noise_std
1,10.313101,0.298800
2,7.643904,0.297605
3,20.383214,0.296414
4,14.055855,0.295229
5,8.299308,0.294048
6,1.475045,0.292872
7,5.408705,0.291700
8,-2.268245,0.290533
9,5.910959,0.289371
10,-1.542556,0.288214
11,-1.246170,0.287061
12,6.051167,0.285913
13,-0.935572,0.284769
14,-0.524328,0.283630
15,-2.192314,0.282495
16,2.243410,0.281365
17,4.021810,0.280240
18,1.801585,0.279119
19,0.065539,0.278002
20,-0.424220,0.276890
21,3.041255,0.275783
22,-2.808340,0.274680
23,-0.495994,0.273581
24,12.455228,0.272487
25,0.360433,0.271397
26,1.060587,0.270311
27,3.465379,0.269230
28,0.963776,0.268153
29,-0.453790,0.267080
30,-3.597804,0.266012
31,1.989725,0.264948
32,6.711219,0.263888
33,4.550413,0.262833
34,-1.788431,0.261781
35,3.862656,0.260734
36,2.874181,0.259691
37,-2.675262,0.258653
38,-4.638541,0.257618
39,-0.920358,0.256587
40,0.857886,0.255561
41,-0.597305,0.254539
42,0.012605,0.253521
43,-4.270640,0.252507
44,-4.634050,0.251497
45,-4.587419,0.250491
46,-4.181269,0.249489
47,-4.430502,0.248491
48,-3.628454,0.247497
49,-3.443952,0.246507
50,-2.951227,0.245521
51,-2.516444,0.244539
52,-3.399431,0.243560
53,-3.244376,0.242586
54,-2.702294,0.241616
55,-1.500147,0.240649
56,1.846396,0.239687
57,1.237891,0.238728
58,4.994872,0.237773
59,-0.718773,0.236822
60,3.262565,0.235875
61,1.467191,0.234931
62,-0.462732,0.233992
63,3.065478,0.233056
64,4.525142,0.232123
65,1.462810,0.231195
66,3.104999,0.230270
67,-0.071182,0.229349
68,1.966091,0.228432
69,0.089665,0.227518
70,0.400216,0.226608
71,3.698382,0.225701
72,5.649827,0.224799
73,1.218423,0.223899
74,1.020859,0.223004
75,-1.381236,0.222112
76,3.723703,0.221223
77,2.482258,0.220338
78,1.372542,0.219457
79,8.712442,0.218579
80,2.722652,0.217705
81,0.912264,0.216834
82,10.227829,0.215967
83,6.651048,0.215103
84,11.598018,0.214243
85,2.488705,0.213386
86,5.656248,0.212532
87,2.649183,0.211682
88,8.290287,0.210835
89,1.392147,0.209992
90,1.591114,0.209152
91,4.844333,0.208315
92,6.962963,0.207482
93,7.746437,0.206652
94,6.068564,0.205825
95,6.867597,0.205002
96,6.270167,0.204182
97,4.878402,0.203365
98,3.630317,0.202552
99,1.424966,0.201742
100,2.442487,0.200935
101,2.067772,0.200131
102,3.220508,0.199331
103,3.169471,0.198533
104,9.320023,0.197739
105,1.948677,0.196948
106,-0.027249,0.196160
107,1.529010,0.195376
108,2.179082,0.194594
109,12.408274,0.193816
110,3.071514,0.193041
111,3.192943,0.192268
112,3.761051,0.191499
113,3.116982,0.190733
114,1.892904,0.189970
115,0.888647,0.189210
116,0.729323,0.188454
117,1.485656,0.187700
118,7.292839,0.186949
119,1.925562,0.186201
120,2.867683,0.185456
121,8.064099,0.184715
122,-3.214062,0.183976
123,10.686429,0.183240
124,1.537401,0.182507
125,7.178379,0.181777
126,4.779136,0.181050
127,0.129844,0.180326
128,2.041048,0.179604
129,5.596534,0.178886
130,6.478605,0.178170
131,7.555636,0.177458
132,-1.989836,0.176748
133,3.013674,0.176041
134,5.151824,0.175337
135,2.870654,0.174635
136,5.630372,0.173937
137,1.780401,0.173241
138,6.497851,0.172548
139,3.259642,0.171858
140,-0.277255,0.171170
141,4.056679,0.170486
142,3.576671,0.169804
143,1.413617,0.169125
144,7.238751,0.168448
145,5.915333,0.167774
146,3.103518,0.167103
147,7.269891,0.166435
148,4.586999,0.165769
149,5.988813,0.165106
150,1.583621,0.164446
151,3.834968,0.163788
152,1.987145,0.163133
153,2.067702,0.162480
154,4.209111,0.161830
155,5.618513,0.161183
156,6.304532,0.160538
157,4.386660,0.159896
158,9.428982,0.159256
159,7.711345,0.158619
160,6.912529,0.157985
161,3.722036,0.157353
162,9.197758,0.156723
163,9.105561,0.156097
164,6.937706,0.155472
165,7.611647,0.154850
166,0.964062,0.154231
167,3.504897,0.153614
168,5.689165,0.153000
169,0.804766,0.152388
170,3.699853,0.151778
171,3.127608,0.151171
172,4.038688,0.150566
173,4.030148,0.149964
174,0.082081,0.149364
175,2.693669,0.148767
176,6.984715,0.148172
177,5.249518,0.147579
