episode,avg_reward,avg_r_info,avg_r_track,avg_r_action,avg_r_boundary,avg_r_collision,avg_r_uncertainty,clip_ratio,acquire,keep,lost,unlock,reacquire
1,-203.509612,-0.000000,-0.199784,-0.003053,-2.664070,0.000000,0.139613,0.460000,5,53,25,5,0
2,-181.262793,-0.053221,-0.162046,-0.003128,-2.551424,0.000000,0.177000,0.510000,5,47,30,5,1
3,-127.215596,-0.007356,-0.087973,-0.003152,-2.163031,-0.010289,0.200611,0.422000,1,14,8,1,0
4,-206.726457,0.000000,-0.200201,-0.003070,-2.632568,0.000000,0.144856,0.532000,5,60,21,5,0
5,-174.814146,0.000000,-0.104471,-0.002881,-2.595801,0.000000,0.176247,0.492000,6,45,28,6,0
6,-81.393181,-0.052383,0.018340,-0.003628,-1.377964,0.000000,0.181230,0.276000,2,13,8,2,0
7,-17.867380,-0.045776,0.598380,-0.011547,-0.509335,0.000000,0.161164,0.272000,3,16,10,1,0
8,-29.692292,-0.149813,-0.103942,-0.025353,-0.375868,0.000000,0.169300,0.302000,2,24,10,2,0
9,-3.435936,-0.108863,-0.059450,-0.027127,-0.303342,0.000000,0.182153,0.274000,2,6,8,2,0
10,-19.403584,-0.036953,0.077292,-0.030063,-0.310618,0.000000,0.148681,0.242000,2,38,9,1,0
11,-24.167844,-0.138155,-0.089379,-0.028639,-0.318199,-0.002475,0.125053,0.270000,4,18,16,3,0
12,-25.847899,-0.187308,-0.078386,-0.027914,-0.413236,0.000000,0.155752,0.228000,3,9,12,2,0
13,-23.129405,-0.077178,-0.031371,-0.029036,-0.237657,0.000000,0.135774,0.178000,3,20,14,3,0
14,-20.187235,-0.135706,-0.249593,-0.029541,-0.239403,0.000000,0.209413,0.300000,2,14,9,2,0
15,-15.658738,-0.135026,-0.046313,-0.028659,-0.374837,0.000000,0.201462,0.258000,1,7,5,1,0
16,-19.857320,-0.092147,-0.121708,-0.028313,-0.303882,0.000000,0.174889,0.224000,3,11,15,3,0
17,-17.900903,-0.056664,-0.218690,-0.031183,-0.203334,0.000000,0.087911,0.212000,5,44,27,5,1
18,-23.059274,-0.087781,-0.053817,-0.029318,-0.409104,0.000000,0.117280,0.156000,2,22,11,2,0
19,-31.383753,-0.099369,-0.044934,-0.025400,-0.630477,0.000000,0.188972,0.230000,1,5,5,1,0
20,-49.811689,-0.039870,-0.122158,-0.028054,-0.644524,0.000000,0.146362,0.208000,4,22,15,3,0
21,-91.930042,-0.093943,-0.164267,-0.024779,-1.356691,0.000000,0.163631,0.342000,2,14,8,2,0
22,-101.822699,-0.030975,-0.027941,-0.025413,-1.662071,0.000000,0.114612,0.418000,4,26,13,3,0
23,-127.707252,-0.269591,-0.100565,-0.022831,-1.442789,0.000000,0.122680,0.304000,4,17,16,4,0
24,-27.533836,-0.013583,-0.113577,-0.027087,-0.395761,0.000000,0.137754,0.210000,3,16,10,2,0
25,-64.250439,-0.138155,-0.119007,-0.020390,-0.530274,-0.010652,0.058293,0.108000,4,21,13,3,0
26,-70.336626,-0.183854,-0.182176,-0.023686,-0.489685,-0.003247,0.136736,0.202000,3,20,12,3,0
27,-57.462184,-0.067047,-0.029165,-0.021820,-0.553907,0.000000,0.080341,0.108000,3,18,14,3,0
28,-23.569265,-0.087532,-0.045790,-0.020046,-0.444932,0.000000,0.171745,0.228000,1,5,4,1,0
29,-41.172538,-0.088930,-0.003239,-0.020512,-0.509662,0.000000,0.145428,0.254000,3,19,8,2,0
30,-79.044234,-0.041589,-0.106589,-0.013879,-1.005657,0.000000,0.098581,0.212000,2,10,8,2,0
31,-35.047028,-0.100190,-0.016548,-0.023430,-0.532184,0.000000,0.178493,0.232000,1,4,4,1,0
32,-15.192880,-0.027200,-0.116804,-0.020287,-0.549643,0.000000,0.214302,0.312000,1,5,5,1,0
33,20.873601,-0.044710,0.000481,-0.021180,-0.322311,0.000000,0.257420,0.322000,1,1,0,0,0
34,16.096961,-0.000000,0.017334,-0.027518,-0.254969,0.000000,0.213654,0.302000,2,12,9,2,0
35,22.841252,-0.030232,0.000000,-0.025912,-0.315288,0.000000,0.270079,0.360000,0,0,0,0,0
36,16.792975,-0.086295,0.000000,-0.025388,-0.316292,0.000000,0.275036,0.398000,0,0,0,0,0
37,14.195725,-0.021128,0.268790,-0.025365,-0.313226,0.000000,0.236025,0.308000,1,3,4,1,0
38,13.451116,-0.095080,-0.007422,-0.022984,-0.385992,0.000000,0.225024,0.304000,1,9,5,1,0
39,2.466126,-0.000000,0.288733,-0.024170,-0.404375,0.000000,0.158762,0.254000,2,14,10,2,0
40,-15.157622,-0.000000,-0.108037,-0.024441,-0.512208,0.000000,0.230150,0.332000,3,18,8,1,0
41,9.140416,-0.084131,0.000000,-0.023783,-0.318469,0.000000,0.266293,0.358000,0,0,0,0,0
42,13.863599,-0.048675,0.000000,-0.025357,-0.295808,0.000000,0.265746,0.340000,0,0,0,0,0
43,-4.689860,-0.119605,-0.062808,-0.020608,-0.436271,0.000000,0.201964,0.282000,1,4,4,1,0
44,18.692479,-0.134576,0.080815,-0.024769,-0.320622,0.000000,0.258019,0.344000,1,5,4,1,0
45,11.110453,0.000000,-0.103006,-0.022935,-0.266736,0.000000,0.219021,0.290000,2,8,8,2,0
46,1.242197,-0.100226,-0.099369,-0.026573,-0.242131,0.000000,0.210420,0.258000,2,10,9,2,0
47,-10.962405,-0.216702,-0.029397,-0.022509,-0.438374,0.000000,0.207688,0.266000,2,7,4,1,0
48,-14.055832,-0.200187,-0.131044,-0.024776,-0.298288,0.000000,0.208775,0.250000,3,23,14,2,0
49,-29.782841,-0.245539,-0.006405,-0.024137,-0.560506,0.000000,0.214932,0.346000,3,18,12,2,0
50,-56.738817,-0.108623,-0.154705,-0.020905,-0.823881,0.000000,0.177402,0.320000,2,14,7,1,0
51,-15.600358,-0.174161,0.100917,-0.023921,-0.237798,0.000000,0.171158,0.282000,3,36,16,3,0
52,-2.616009,-0.071168,-0.013228,-0.022775,-0.403267,0.000000,0.219915,0.270000,2,18,12,2,0
53,-2.468330,-0.117854,-0.079765,-0.024091,-0.377661,0.000000,0.209083,0.300000,2,24,11,2,0
54,-3.860224,-0.070356,-0.057375,-0.023698,-0.246690,0.000000,0.201627,0.264000,2,16,9,2,0
55,17.692571,-0.065881,0.249225,-0.024542,-0.239315,0.000000,0.218053,0.342000,1,7,4,1,0
56,-5.534615,-0.000000,-0.107286,-0.028310,-0.171730,0.000000,0.153394,0.228000,2,18,11,2,0
57,-6.515717,-0.003817,-0.120541,-0.030462,-0.158785,0.000000,0.115964,0.186000,3,27,14,3,0
58,10.678906,-0.064516,-0.002384,-0.023136,-0.227824,0.000000,0.211887,0.254000,1,0,4,1,0
59,-6.626835,-0.058634,-0.056688,-0.031223,-0.311896,0.000000,0.181176,0.288000,3,14,12,3,0
60,-0.748807,-0.000000,-0.071604,-0.032139,-0.300604,0.000000,0.163055,0.252000,4,18,13,3,0
61,16.930756,-0.161812,-0.101967,-0.032466,-0.116986,0.000000,0.165667,0.202000,5,45,18,4,0
62,13.865864,-0.081512,-0.139337,-0.031974,-0.139310,-0.010831,0.228501,0.254000,4,34,20,4,0
63,9.220575,-0.080280,0.000000,-0.025684,-0.376663,0.000000,0.273779,0.370000,0,0,0,0,0
64,-11.432746,-0.055321,0.045983,-0.030968,-0.338808,0.000000,0.183724,0.302000,3,70,29,3,0
65,-9.239051,-0.078215,-0.038568,-0.031717,-0.188531,0.000000,0.176120,0.226000,5,61,33,5,1
66,5.674762,-0.039088,0.062266,-0.027063,-0.534716,0.000000,0.244084,0.330000,2,22,12,2,0
67,-0.503018,-0.054254,-0.029890,-0.026348,-0.496627,0.000000,0.221309,0.342000,1,6,4,1,0
68,-3.305087,-0.058567,-0.024570,-0.028510,-0.464119,0.000000,0.212089,0.316000,1,8,4,1,0
69,-25.180332,-0.094738,-0.050473,-0.023091,-0.461037,0.000000,0.179658,0.290000,2,11,8,2,0
70,-3.232499,-0.035574,-0.106858,-0.027483,-0.474432,0.000000,0.236228,0.314000,2,16,12,2,0
71,-22.938229,-0.113220,-0.262118,-0.029636,-0.192304,-0.009535,0.190388,0.296000,2,67,17,2,0
72,-23.413573,-0.156645,0.169319,-0.027198,-0.461080,0.000000,0.170132,0.284000,3,26,12,3,0
73,-6.154259,-0.077725,-0.046038,-0.025006,-0.456265,0.000000,0.183394,0.266000,3,48,18,3,0
74,-12.850251,-0.193887,0.003604,-0.024282,-0.603483,0.000000,0.241203,0.338000,1,0,0,0,0
75,-21.894978,-0.098918,-0.008092,-0.019222,-0.501179,0.000000,0.188589,0.256000,1,2,4,1,0
76,-15.711056,-0.091012,-0.092492,-0.023943,-0.425001,0.000000,0.207398,0.242000,2,13,10,2,0
77,-13.384120,-0.062951,0.000000,-0.020660,-0.495937,0.000000,0.239453,0.320000,0,0,0,0,0
78,-14.050957,-0.090757,0.000000,-0.020809,-0.515906,-0.007816,0.248250,0.392000,0,0,0,0,0
79,-18.779020,-0.099912,-0.069799,-0.023725,-0.518258,0.000000,0.206783,0.262000,2,14,9,2,0
80,-20.226815,-0.111696,-0.119584,-0.023775,-0.380576,0.000000,0.161180,0.242000,2,34,14,2,0
81,-31.033540,-0.006351,-0.098348,-0.021362,-0.628335,0.000000,0.208929,0.290000,1,5,5,1,0
82,-25.936025,-0.135621,0.033638,-0.022437,-0.529186,0.000000,0.179336,0.240000,2,8,8,2,0
83,-47.124908,-0.029806,-0.032028,-0.019557,-0.992461,0.000000,0.239039,0.306000,1,6,1,0,0
84,-38.154024,-0.043814,-0.006298,-0.024043,-0.767738,0.000000,0.134368,0.240000,2,14,8,2,0
85,-14.280328,-0.119550,-0.079214,-0.025013,-0.316369,0.000000,0.189800,0.238000,3,24,14,3,0
86,-16.777778,-0.055483,-0.027328,-0.026123,-0.353731,0.000000,0.178064,0.190000,4,18,16,4,0
87,-59.071324,-0.096692,-0.107943,-0.025957,-0.609011,0.000000,0.112840,0.152000,3,19,15,3,0
88,-29.426163,-0.013863,-0.177088,-0.032743,-0.352884,0.000000,0.135379,0.190000,4,31,18,4,0
89,-58.971808,-0.023106,-0.211954,-0.021947,-0.814615,0.000000,0.148429,0.238000,5,28,25,5,0
90,-42.444073,-0.099766,-0.290913,-0.024721,-0.499922,0.000000,0.173364,0.240000,5,55,28,5,0
91,-34.173188,-0.027844,-0.118466,-0.026388,-0.480043,0.000000,0.099033,0.138000,3,13,17,3,0
92,-23.485654,-0.074610,-0.017826,-0.028245,-0.358590,0.000000,0.115363,0.178000,5,26,23,5,0
93,-30.718862,-0.137011,0.096011,-0.024968,-0.545702,0.000000,0.187561,0.248000,5,46,20,4,0
94,-20.017562,-0.091123,-0.031987,-0.024059,-0.440438,0.000000,0.157104,0.230000,2,9,12,2,0
95,-38.624681,-0.090705,-0.037020,-0.017691,-0.585066,-0.007840,0.138703,0.218000,1,11,4,1,0
96,-3.794077,-0.074421,-0.076301,-0.031124,-0.396037,0.000000,0.240747,0.302000,1,1,5,1,0
97,-45.459415,-0.162692,0.092355,-0.020510,-0.538185,0.000000,0.123458,0.242000,3,12,13,3,0
98,-13.153232,-0.158510,-0.152998,-0.038517,-0.084844,0.000000,0.180908,0.246000,9,62,32,7,0
99,-45.701497,-0.146231,-0.144861,-0.021729,-0.485268,-0.014086,0.096345,0.158000,5,25,24,5,0
100,-28.191818,-0.074194,-0.188411,-0.025228,-0.341834,0.000000,0.156050,0.246000,5,31,26,5,0
101,-7.948214,-0.185336,0.009179,-0.026697,-0.334966,0.000000,0.171784,0.252000,5,36,19,4,0
102,-22.795916,-0.047536,-0.066612,-0.024906,-0.622520,0.000000,0.234159,0.274000,2,4,10,2,0
103,-16.312669,-0.016213,-0.039593,-0.026826,-0.495588,-0.007387,0.195352,0.246000,3,46,14,3,0
104,-6.802085,-0.068777,-0.012493,-0.027701,-0.203930,0.000000,0.158241,0.256000,1,9,4,1,0
105,-10.702942,-0.179144,-0.020594,-0.021496,-0.356869,0.000000,0.111126,0.272000,5,50,17,4,0
106,11.034290,-0.036157,-0.021794,-0.030579,-0.220575,0.000000,0.196251,0.300000,1,4,5,1,0
107,-8.414944,-0.292662,-0.050858,-0.032661,-0.268162,0.000000,0.208807,0.286000,5,20,12,3,0
108,-16.792389,0.000000,0.130113,-0.025680,-0.333943,0.000000,0.136425,0.236000,3,13,13,3,0
109,-55.317440,-0.000000,-0.043998,-0.023890,-0.665994,0.000000,0.132019,0.188000,3,14,13,3,0
110,-32.699925,-0.000000,-0.172144,-0.031243,-0.384271,0.000000,0.109598,0.236000,3,14,15,3,0
111,-25.655651,-0.227151,-0.052030,-0.030333,-0.353455,-0.000361,0.149003,0.244000,2,13,8,2,0
112,-23.305972,-0.081047,0.000000,-0.023310,-0.740787,0.000000,0.225410,0.296000,0,0,0,0,0
113,-39.705465,-0.043787,-0.055472,-0.024611,-0.717414,0.000000,0.133055,0.250000,2,14,8,2,0
114,-39.597478,-0.075188,0.004192,-0.019554,-0.695220,0.000000,0.124994,0.218000,3,36,17,3,0
115,-22.731346,-0.026386,-0.228780,-0.029313,-0.398625,0.000000,0.153162,0.242000,3,27,17,3,0
116,-46.087098,-0.097196,-0.091689,-0.020829,-0.517394,0.000000,0.072382,0.202000,4,55,28,4,0
