episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio
1,0.222000,2.824000,4,0.100000,0.160000
2,0.056000,0.410000,1,0.022000,0.035000
3,0.158000,1.600000,2,0.042000,0.065000
4,0.148000,1.190000,3,0.062000,0.095000
5,0.030000,0.540000,1,0.018000,0.025000
6,0.062000,1.212000,2,0.040000,0.055000
7,0.298000,2.714000,5,0.124000,0.200000
8,0.688000,1.400000,6,0.162000,0.265000
9,0.248000,2.004000,8,0.140000,0.190000
10,0.418000,1.842000,8,0.174000,0.260000
11,0.336000,0.526000,5,0.108000,0.175000
12,0.086000,1.582000,5,0.092000,0.095000
13,0.118000,0.870000,4,0.070000,0.095000
14,0.108000,1.930000,5,0.090000,0.110000
15,0.042000,0.820000,2,0.032000,0.040000
16,1.488000,2.620000,7,0.234000,0.345000
17,0.022000,2.692000,3,0.040000,0.035000
18,0.694000,2.032000,8,0.184000,0.310000
19,0.128000,0.916000,2,0.042000,0.075000
20,0.188000,2.946000,6,0.120000,0.120000
21,0.042000,0.850000,1,0.020000,0.030000
22,0.058000,1.800000,2,0.032000,0.040000
23,0.126000,0.954000,4,0.068000,0.105000
24,0.320000,1.736000,2,0.062000,0.150000
25,0.048000,0.960000,2,0.032000,0.040000
26,0.020000,0.850000,1,0.016000,0.020000
27,0.096000,1.774000,3,0.062000,0.085000
28,0.060000,2.010000,3,0.046000,0.055000
29,0.012000,0.894000,2,0.030000,0.045000
30,0.398000,2.994000,6,0.158000,0.220000
31,0.106000,1.692000,3,0.076000,0.105000
32,0.174000,2.372000,5,0.074000,0.115000
33,0.026000,1.020000,2,0.028000,0.030000
34,0.144000,2.312000,4,0.080000,0.115000
35,0.122000,1.610000,2,0.042000,0.065000
36,0.044000,1.732000,2,0.038000,0.050000
37,0.178000,2.318000,6,0.106000,0.145000
38,0.334000,2.106000,5,0.136000,0.200000
39,0.080000,1.700000,3,0.052000,0.070000
40,0.094000,1.630000,4,0.058000,0.085000
41,0.240000,3.250000,6,0.124000,0.145000
42,0.140000,1.376000,4,0.086000,0.110000
43,0.092000,1.802000,4,0.068000,0.090000
44,0.238000,2.294000,5,0.114000,0.165000
45,0.060000,1.804000,3,0.052000,0.060000
46,0.084000,1.506000,3,0.062000,0.090000
47,0.130000,0.672000,2,0.042000,0.070000
48,0.050000,3.302000,4,0.058000,0.050000
49,0.100000,1.952000,5,0.074000,0.090000
50,0.068000,0.922000,3,0.052000,0.065000
51,0.094000,0.442000,2,0.044000,0.065000
52,0.060000,1.790000,3,0.038000,0.055000
53,0.026000,0.942000,2,0.032000,0.035000
54,0.184000,2.654000,5,0.092000,0.140000
55,0.054000,0.980000,3,0.046000,0.070000
56,0.038000,1.102000,2,0.036000,0.080000
57,0.052000,0.702000,2,0.038000,0.050000
58,0.170000,1.880000,5,0.114000,0.175000
59,0.064000,1.842000,5,0.066000,0.080000
60,0.054000,0.832000,1,0.028000,0.045000
61,0.080000,1.168000,3,0.064000,0.085000
62,0.414000,2.482000,5,0.142000,0.250000
63,0.042000,0.590000,1,0.020000,0.030000
64,0.104000,2.102000,5,0.090000,0.100000
65,0.082000,1.544000,5,0.084000,0.085000
66,0.374000,1.732000,6,0.140000,0.225000
67,0.090000,0.000000,1,0.018000,0.045000
68,0.266000,2.286000,7,0.126000,0.190000
69,0.108000,2.802000,4,0.068000,0.085000
70,0.246000,1.858000,5,0.100000,0.155000
71,0.130000,1.274000,5,0.066000,0.095000
72,0.080000,1.538000,4,0.070000,0.115000
73,0.064000,1.512000,4,0.060000,0.065000
74,0.136000,2.462000,7,0.108000,0.125000
75,0.100000,0.194000,2,0.054000,0.085000
76,0.230000,1.932000,6,0.106000,0.165000
77,0.144000,1.714000,5,0.094000,0.160000
78,0.314000,2.496000,10,0.176000,0.265000
79,0.046000,0.982000,2,0.038000,0.080000
80,0.150000,1.348000,3,0.074000,0.200000
81,0.864000,1.438000,4,0.120000,0.225000
82,0.174000,2.464000,4,0.084000,0.120000
83,0.218000,3.102000,4,0.090000,0.140000
84,0.188000,2.206000,5,0.122000,0.160000
85,0.036000,1.452000,3,0.036000,0.045000
86,0.576000,2.016000,4,0.128000,0.245000
87,0.440000,1.512000,4,0.084000,0.130000
88,0.458000,2.372000,3,0.096000,0.175000
