episode,avg_reward,noise_std
1,-27.639348,0.298800
2,-31.388922,0.297605
3,-29.260412,0.296414
4,-28.254443,0.295229
5,-26.657850,0.294048
6,-8.267405,0.292872
7,-9.840041,0.291700
8,-14.692665,0.290533
9,-7.019736,0.289371
10,-12.301911,0.288214
11,-8.415890,0.287061
12,-8.576006,0.285913
13,-5.818634,0.284769
14,-4.099954,0.283630
15,-5.636431,0.282495
16,-7.851532,0.281365
17,-9.083666,0.280240
18,-6.964328,0.279119
19,-7.998614,0.278002
20,-15.033864,0.276890
21,-11.755448,0.275783
22,-8.376384,0.274680
23,-9.708103,0.273581
24,-21.137442,0.272487
25,-6.906349,0.271397
26,-8.317769,0.270311
27,-9.238776,0.269230
28,-12.193342,0.268153
29,-11.975129,0.267080
30,-11.347626,0.266012
31,-14.229200,0.264948
32,-11.804420,0.263888
33,-11.047531,0.262833
34,-11.843174,0.261781
35,-13.559805,0.260734
36,-11.652755,0.259691
37,-10.503967,0.258653
38,-10.648845,0.257618
39,-9.983727,0.256587
40,-11.978076,0.255561
41,-8.382478,0.254539
42,-13.082293,0.253521
43,-10.779562,0.252507
44,-8.610019,0.251497
45,-9.035488,0.250491
46,-6.231407,0.249489
47,-7.937972,0.248491
48,-14.776180,0.247497
49,-13.477337,0.246507
50,-12.779932,0.245521
51,-13.809653,0.244539
52,-12.176404,0.243560
53,-9.910073,0.242586
54,-23.255429,0.241616
55,-15.245779,0.240649
56,-9.101566,0.239687
57,-11.284247,0.238728
58,-15.238915,0.237773
59,-7.917844,0.236822
60,-16.761833,0.235875
61,-15.808233,0.234931
62,-9.217865,0.233992
63,-16.211840,0.233056
64,-13.706662,0.232123
65,-8.537029,0.231195
66,-6.929891,0.230270
67,-7.138804,0.229349
68,-6.807949,0.228432
69,-4.543418,0.227518
70,-9.980768,0.226608
71,-9.135893,0.225701
72,-13.755808,0.224799
73,-19.067014,0.223899
74,-11.082747,0.223004
75,-10.579579,0.222112
76,-9.265196,0.221223
77,-12.342063,0.220338
78,-10.206585,0.219457
79,-6.790106,0.218579
80,-5.801353,0.217705
81,-9.238097,0.216834
82,-11.732558,0.215967
83,-11.004468,0.215103
84,-7.070751,0.214243
85,-7.709970,0.213386
86,-7.114877,0.212532
87,-7.222057,0.211682
88,-7.544884,0.210835
89,-9.483829,0.209992
90,-9.233026,0.209152
91,-7.755893,0.208315
92,-7.267888,0.207482
93,-9.265258,0.206652
94,-7.119491,0.205825
95,-1.340656,0.205002
96,-8.018377,0.204182
97,-5.215833,0.203365
98,-6.785058,0.202552
99,-6.872807,0.201742
100,-6.867731,0.200935
101,-13.048248,0.200131
102,-6.684380,0.199331
103,-16.582361,0.198533
104,-7.769143,0.197739
105,-7.506660,0.196948
106,-7.420516,0.196160
107,-9.534592,0.195376
108,-9.155527,0.194594
109,-12.604089,0.193816
110,-3.270587,0.193041
111,-8.791492,0.192268
112,-13.888385,0.191499
113,-11.220587,0.190733
114,-6.785147,0.189970
115,-8.252322,0.189210
116,-10.167513,0.188454
117,-5.158887,0.187700
118,-15.156303,0.186949
119,-8.503308,0.186201
120,-9.535099,0.185456
121,-8.803515,0.184715
122,-12.792170,0.183976
123,-7.764736,0.183240
124,-7.017777,0.182507
125,-14.402395,0.181777
126,-4.619700,0.181050
127,-3.627913,0.180326
128,-7.596205,0.179604
129,-8.174187,0.178886
130,-10.676612,0.178170
131,-7.624217,0.177458
132,-9.924326,0.176748
133,-11.531229,0.176041
134,-12.237189,0.175337
135,-11.748818,0.174635
136,-4.095022,0.173937
137,-13.343425,0.173241
138,-11.512329,0.172548
139,-8.480330,0.171858
140,-12.070993,0.171170
141,-5.997384,0.170486
142,-11.170206,0.169804
143,-9.295148,0.169125
144,-10.260380,0.168448
145,-6.686722,0.167774
146,-6.785566,0.167103
147,-9.391537,0.166435
148,-10.580245,0.165769
149,-8.586096,0.165106
150,-6.774581,0.164446
151,-2.840469,0.163788
152,-8.967843,0.163133
153,-10.083173,0.162480
154,-11.306855,0.161830
155,-11.051410,0.161183
