episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio,avg_r_info,avg_r_uncertainty,avg_r_track,avg_r_action,avg_r_collision,avg_r_out,avg_total_raw
1,0.388000,2.690000,5,0.118000,0.195000,-0.000000,0.000495,-0.061614,-0.003372,0.000000,-1.740018,-1.804509
2,0.364000,1.940000,4,0.102000,0.175000,-0.000000,0.000537,-0.021514,-0.003568,0.000000,-1.534381,-1.558926
3,0.084000,1.640000,2,0.040000,0.060000,-0.038890,0.000822,-0.046072,-0.003095,0.000000,-1.831611,-1.918845
4,0.042000,0.880000,1,0.020000,0.030000,-0.000000,0.001356,-0.018204,-0.003225,0.000000,-2.018540,-2.038614
5,0.134000,1.830000,3,0.060000,0.090000,-0.032378,0.001763,-0.053193,-0.003060,0.000000,-1.807737,-1.894606
6,0.244000,1.780000,3,0.074000,0.125000,-0.000000,0.000840,-0.065149,-0.004130,0.000000,-2.020731,-2.089170
7,0.330000,1.560000,4,0.098000,0.190000,-0.036140,0.000461,-0.120471,-0.010549,0.000000,-1.282820,-1.449519
8,0.156000,2.350000,4,0.066000,0.105000,0.000000,0.000228,-0.097754,-0.018817,0.000000,-0.579317,-0.695660
9,0.132000,1.560000,2,0.046000,0.075000,-0.000000,0.001233,-0.039606,-0.020469,0.000000,-0.908352,-0.967194
10,0.470000,2.200000,4,0.096000,0.200000,-0.000000,0.000186,-0.065391,-0.022561,0.000000,-0.363619,-0.451385
11,0.254000,2.330000,3,0.074000,0.090000,0.000000,0.000529,-0.041113,-0.017680,0.000000,-0.643975,-0.702239
12,0.212000,1.470000,2,0.052000,0.090000,-0.000000,0.001261,-0.047012,-0.025277,0.000000,-0.336462,-0.407490
13,0.234000,1.080000,4,0.074000,0.155000,-0.000000,0.001875,-0.082680,-0.020209,0.000000,-0.497939,-0.598952
14,0.098000,1.570000,2,0.042000,0.065000,0.000000,0.000020,-0.035307,-0.017360,0.000000,-1.974994,-2.027641
15,0.086000,1.700000,2,0.040000,0.060000,0.000000,0.000346,-0.057806,-0.021021,0.000000,-0.355476,-0.433958
16,0.080000,1.820000,4,0.060000,0.095000,0.000000,0.000399,-0.086725,-0.018881,0.000000,-0.477795,-0.583003
17,0.076000,1.660000,2,0.038000,0.055000,0.000000,0.000246,-0.046254,-0.022441,0.000000,-0.470513,-0.538962
18,0.060000,1.710000,2,0.036000,0.050000,0.000000,0.000529,-0.043055,-0.022021,0.000000,-0.530498,-0.595046
19,0.020000,0.920000,1,0.016000,0.020000,0.000000,0.000522,-0.032007,-0.022179,0.000000,-0.579993,-0.633658
20,0.020000,0.920000,1,0.016000,0.020000,0.000000,0.000591,-0.026459,-0.021623,0.000000,-0.422352,-0.469843
21,0.020000,0.910000,1,0.016000,0.020000,0.000000,0.000976,-0.027825,-0.020029,0.000000,-1.125817,-1.172695
22,0.114000,2.410000,4,0.070000,0.095000,0.000000,0.000322,-0.103630,-0.020897,0.000000,-0.394706,-0.518911
23,0.162000,1.120000,4,0.062000,0.115000,0.000000,0.000271,-0.065571,-0.016856,0.000000,-0.512143,-0.594300
24,0.132000,1.036000,3,0.056000,0.110000,-0.000000,0.000691,-0.130479,-0.024762,0.000000,-0.414828,-0.569378
25,0.062000,0.830000,2,0.036000,0.050000,-0.000000,0.000480,-0.092900,-0.022717,0.000000,-0.412521,-0.527658
26,0.040000,1.120000,2,0.032000,0.070000,-0.000000,0.000537,-0.059316,-0.024070,0.000000,-0.410016,-0.492865
27,0.032000,0.910000,2,0.020000,0.030000,-0.000000,0.000715,-0.029353,-0.023819,0.000000,-0.402770,-0.455227
28,0.030000,0.900000,1,0.018000,0.025000,-0.000000,0.000735,-0.029610,-0.022822,0.000000,-0.523593,-0.575290
29,0.072000,0.830000,2,0.038000,0.055000,-0.000000,0.000993,-0.072953,-0.022987,0.000000,-0.365262,-0.460209
30,0.272000,1.072000,3,0.060000,0.145000,0.000000,0.000470,-0.103564,-0.024406,-0.047685,-0.312585,-0.487770
31,0.170000,1.040000,3,0.066000,0.105000,-0.000000,0.000857,-0.092022,-0.028373,0.000000,-0.252531,-0.372070
32,0.032000,1.730000,2,0.030000,0.035000,0.000000,0.000194,-0.041725,-0.028496,0.000000,-0.248675,-0.318702
33,0.032000,1.700000,2,0.028000,0.030000,0.000000,0.000349,-0.036225,-0.027181,0.000000,-0.258404,-0.321461
34,0.094000,1.588000,5,0.078000,0.105000,0.000000,0.000321,-0.099599,-0.026016,0.000000,-0.296072,-0.421367
35,0.114000,1.070000,2,0.044000,0.095000,0.000000,0.000808,-0.129487,-0.025705,0.000000,-0.281276,-0.435659
36,0.134000,1.600000,3,0.060000,0.090000,0.000000,0.000074,-0.131691,-0.024309,0.000000,-0.278630,-0.434556
