episode,avg_reward,noise_std
1,-10.118210,0.298800
2,-0.537109,0.297605
3,-1.431438,0.296414
4,-3.010745,0.295229
5,-4.130923,0.294048
6,-21.985630,0.292872
7,-15.121244,0.291700
8,-9.068322,0.290533
9,-5.404754,0.289371
10,-4.927167,0.288214
11,-7.285916,0.287061
12,-7.200195,0.285913
13,-6.196660,0.284769
14,-7.100114,0.283630
15,-12.757741,0.282495
16,-7.104471,0.281365
17,-6.410876,0.280240
18,-6.131865,0.279119
19,-7.839414,0.278002
20,-4.970513,0.276890
21,-5.780648,0.275783
22,-5.966384,0.274680
23,-4.832086,0.273581
24,-5.889100,0.272487
25,-5.629887,0.271397
26,-13.151905,0.270311
27,-10.984497,0.269230
28,-13.853290,0.268153
29,-5.057474,0.267080
30,-4.360823,0.266012
31,-6.755519,0.264948
32,-3.970950,0.263888
33,1.088422,0.262833
34,0.902857,0.261781
35,-0.024001,0.260734
36,1.097446,0.259691
37,0.231405,0.258653
38,1.170518,0.257618
39,-3.936143,0.256587
40,-9.315494,0.255561
41,-7.771272,0.254539
42,-10.095015,0.253521
43,-7.143096,0.252507
44,-4.544551,0.251497
45,-3.997478,0.250491
46,-1.140362,0.249489
47,-3.646953,0.248491
48,0.601531,0.247497
49,-6.115247,0.246507
50,-2.614022,0.245521
51,-9.892400,0.244539
52,-5.152777,0.243560
53,-11.862828,0.242586
54,-10.955700,0.241616
55,-9.754935,0.240649
56,-10.784647,0.239687
57,-13.369742,0.238728
58,-18.448235,0.237773
59,-15.477415,0.236822
60,-18.242114,0.235875
61,-11.028721,0.234931
62,-6.472920,0.233992
63,-6.925253,0.233056
64,-6.730665,0.232123
65,-28.277218,0.231195
66,-19.976894,0.230270
67,-17.555272,0.229349
68,-4.535127,0.228432
69,-0.962078,0.227518
70,-5.656018,0.226608
71,-10.223165,0.225701
72,-3.516364,0.224799
73,-12.930369,0.223899
74,-16.194453,0.223004
75,-10.082299,0.222112
76,-3.002237,0.221223
77,2.902160,0.220338
78,-1.313230,0.219457
79,-3.165459,0.218579
80,-8.156274,0.217705
81,-12.502947,0.216834
82,-9.515296,0.215967
83,-8.783712,0.215103
84,-17.937565,0.214243
85,-15.475301,0.213386
86,-1.889834,0.212532
87,-10.078933,0.211682
88,-11.311406,0.210835
89,-4.297915,0.209992
90,-3.661449,0.209152
91,-3.167776,0.208315
92,-7.734112,0.207482
93,-2.493671,0.206652
94,-10.188298,0.205825
95,-0.330015,0.205002
96,-1.212665,0.204182
97,-9.363659,0.203365
98,-3.834916,0.202552
99,-3.386742,0.201742
100,-12.002182,0.200935
101,2.331313,0.200131
102,-0.029362,0.199331
103,10.824411,0.198533
104,10.223856,0.197739
105,1.316319,0.196948
106,4.589914,0.196160
107,2.158834,0.195376
108,6.270044,0.194594
109,1.759971,0.193816
110,-2.043793,0.193041
111,2.495524,0.192268
112,6.838253,0.191499
113,3.622200,0.190733
114,3.745259,0.189970
115,9.669492,0.189210
116,-1.160835,0.188454
117,-3.827241,0.187700
118,0.484771,0.186949
119,5.294134,0.186201
120,-1.030330,0.185456
121,2.535468,0.184715
122,3.556917,0.183976
123,15.171146,0.183240
124,9.115882,0.182507
125,11.011225,0.181777
126,8.835784,0.181050
127,6.261108,0.180326
128,4.556666,0.179604
129,5.704319,0.178886
130,4.710987,0.178170
131,2.868328,0.177458
132,8.561751,0.176748
133,3.888405,0.176041
134,6.555922,0.175337
135,5.299657,0.174635
136,4.543663,0.173937
137,5.492616,0.173241
138,3.523298,0.172548
139,4.096952,0.171858
140,-0.009571,0.171170
141,7.127600,0.170486
142,12.293460,0.169804
143,8.743899,0.169125
144,3.574341,0.168448
145,7.612732,0.167774
146,1.452774,0.167103
147,2.022626,0.166435
148,0.872864,0.165769
149,-1.209613,0.165106
150,-3.496918,0.164446
151,-2.467126,0.163788
152,1.127204,0.163133
153,1.533999,0.162480
154,-5.736505,0.161830
155,-5.140705,0.161183
156,-6.937006,0.160538
157,-2.760997,0.159896
158,-7.372672,0.159256
159,-0.365722,0.158619
160,-9.660722,0.157985
161,-12.761352,0.157353
162,-4.514053,0.156723
163,-2.300538,0.156097
164,-9.247648,0.155472
165,-6.249530,0.154850
166,-6.328110,0.154231
167,-3.124926,0.153614
168,-8.352095,0.153000
169,-1.042190,0.152388
