episode,avg_reward,noise_std
1,25.478983,0.298800
2,19.870282,0.297605
3,17.312948,0.296414
4,15.148483,0.295229
5,22.899412,0.294048
6,16.997938,0.292872
7,15.434477,0.291700
8,30.976027,0.290533
9,7.431225,0.289371
10,22.024553,0.288214
11,18.741176,0.287061
12,17.897022,0.285913
13,32.585349,0.284769
14,18.835334,0.283630
15,22.739479,0.282495
16,20.300675,0.281365
17,19.507093,0.280240
18,24.596654,0.279119
19,27.093367,0.278002
20,27.790695,0.276890
21,29.129597,0.275783
22,26.149182,0.274680
23,17.460633,0.273581
24,18.899279,0.272487
25,22.516480,0.271397
26,26.078531,0.270311
27,24.924564,0.269230
28,28.633264,0.268153
29,20.384541,0.267080
30,33.814464,0.266012
31,28.986808,0.264948
32,26.483496,0.263888
33,24.302484,0.262833
34,27.344178,0.261781
35,31.259788,0.260734
36,57.796253,0.259691
37,36.574617,0.258653
38,33.714744,0.257618
39,19.355636,0.256587
40,34.243732,0.255561
41,27.687345,0.254539
42,29.765905,0.253521
43,27.932093,0.252507
44,30.434890,0.251497
45,20.268075,0.250491
46,17.987122,0.249489
47,28.554728,0.248491
48,20.974212,0.247497
49,17.126662,0.246507
50,25.193222,0.245521
51,23.057918,0.244539
52,25.469574,0.243560
53,20.313099,0.242586
54,20.323235,0.241616
55,28.548335,0.240649
56,17.820239,0.239687
57,27.522246,0.238728
58,31.369863,0.237773
59,24.393513,0.236822
60,23.391939,0.235875
61,28.641370,0.234931
62,31.008925,0.233992
63,23.248267,0.233056
64,27.940586,0.232123
65,21.949102,0.231195
66,22.806206,0.230270
67,40.232137,0.229349
68,30.037440,0.228432
69,36.685985,0.227518
70,35.216741,0.226608
71,37.784496,0.225701
72,34.837916,0.224799
73,27.406608,0.223899
74,18.546900,0.223004
75,37.832581,0.222112
76,21.999884,0.221223
77,29.699641,0.220338
78,34.142278,0.219457
79,27.621869,0.218579
80,19.631818,0.217705
81,30.179428,0.216834
82,35.658106,0.215967
83,21.544606,0.215103
84,15.283293,0.214243
85,21.267758,0.213386
86,22.147674,0.212532
87,24.354646,0.211682
88,23.473875,0.210835
89,24.921224,0.209992
90,27.251934,0.209152
91,25.004256,0.208315
92,21.944593,0.207482
93,24.066843,0.206652
94,28.411424,0.205825
95,30.718390,0.205002
96,13.574770,0.204182
97,26.810881,0.203365
98,38.240120,0.202552
99,31.181668,0.201742
100,37.622767,0.200935
101,25.666950,0.200131
102,29.559422,0.199331
103,20.566909,0.198533
104,18.570215,0.197739
105,19.661711,0.196948
106,18.826884,0.196160
107,23.944331,0.195376
108,21.658196,0.194594
109,20.742741,0.193816
110,25.381436,0.193041
111,25.984527,0.192268
112,21.408661,0.191499
113,19.718566,0.190733
114,23.246961,0.189970
115,29.835475,0.189210
116,27.890935,0.188454
117,23.230932,0.187700
118,21.719802,0.186949
119,23.174906,0.186201
120,18.620453,0.185456
121,26.137231,0.184715
122,28.332978,0.183976
123,21.560957,0.183240
124,19.604097,0.182507
125,17.470839,0.181777
126,16.005042,0.181050
127,17.194333,0.180326
128,16.610251,0.179604
129,30.878978,0.178886
130,26.269780,0.178170
131,34.521615,0.177458
132,48.310176,0.176748
133,31.285081,0.176041
134,34.982448,0.175337
135,22.229356,0.174635
136,28.757492,0.173937
137,30.706573,0.173241
138,26.878878,0.172548
139,34.270855,0.171858
140,33.101535,0.171170
141,33.203752,0.170486
142,28.027463,0.169804
143,37.270211,0.169125
144,38.807457,0.168448
145,31.327947,0.167774
146,28.838018,0.167103
147,42.231630,0.166435
148,28.887449,0.165769
149,34.628882,0.165106
150,41.082888,0.164446
151,46.040511,0.163788
152,37.468600,0.163133
153,32.832683,0.162480
154,37.167000,0.161830
155,40.247152,0.161183
156,37.829775,0.160538
157,46.130608,0.159896
158,45.920242,0.159256
159,38.019665,0.158619
160,38.490489,0.157985
161,34.460591,0.157353
162,33.150714,0.156723
163,35.631341,0.156097
164,28.849797,0.155472
165,29.748959,0.154850
166,25.223962,0.154231
167,29.544043,0.153614
168,31.139104,0.153000
169,32.739705,0.152388
170,32.696142,0.151778
171,35.074907,0.151171
172,31.329990,0.150566
173,33.403148,0.149964
174,32.074725,0.149364
175,34.335272,0.148767
176,31.543566,0.148172
177,32.879278,0.147579
178,30.835363,0.146989
179,29.514447,0.146401
180,34.543427,0.145815
181,34.216702,0.145232
182,31.034721,0.144651
183,38.151006,0.144072
184,36.267859,0.143496
185,38.905621,0.142922
186,32.150713,0.142350
187,35.442599,0.141781
188,27.064391,0.141214
189,35.596162,0.140649
190,28.315607,0.140086
191,25.542854,0.139526
192,19.102796,0.138968
193,21.023010,0.138412
194,16.605796,0.137858
195,24.992326,0.137307
196,21.579255,0.136758
197,29.267153,0.136211
198,17.559695,0.135666
199,28.497170,0.135123
200,23.767681,0.134583
201,24.073130,0.134044
202,23.109961,0.133508
203,33.349722,0.132974
204,22.509948,0.132442
205,24.427384,0.131912
206,27.063491,0.131385
207,24.610320,0.130859
208,27.107257,0.130336
209,29.851512,0.129814
210,24.150187,0.129295
211,25.904116,0.128778
212,25.088493,0.128263
213,31.301358,0.127750
214,26.761293,0.127239
215,28.723068,0.126730
216,29.766879,0.126223
217,28.761556,0.125718
218,25.372108,0.125215
219,28.186864,0.124714
220,28.205107,0.124215
221,35.425796,0.123719
222,30.248158,0.123224
223,16.978678,0.122731
224,24.535266,0.122240
225,23.031300,0.121751
226,17.451900,0.121264
227,21.137033,0.120779
228,24.654611,0.120296
229,19.059944,0.119815
230,19.490297,0.119335
231,20.925726,0.118858
232,24.063287,0.118383
233,16.217535,0.117909
234,13.785326,0.117437
235,18.436676,0.116968
236,15.077569,0.116500
237,15.042961,0.116034
238,12.265650,0.115570
239,13.002257,0.115107
240,12.802826,0.114647
241,17.619006,0.114188
242,20.298652,0.113732
243,23.058523,0.113277
244,16.617749,0.112824
245,22.901508,0.112372
246,18.176609,0.111923
247,22.356250,0.111475
248,20.301808,0.111029
249,21.394637,0.110585
250,23.861788,0.110143
251,36.380974,0.109702
252,29.204650,0.109263
253,23.462694,0.108826
254,25.352222,0.108391
255,26.382543,0.107957
256,26.712246,0.107526
257,22.223119,0.107096
258,36.310586,0.106667
259,25.303883,0.106240
260,29.215272,0.105815
261,27.244735,0.105392
262,31.095671,0.104971
263,25.023076,0.104551
264,24.002414,0.104133
265,28.265806,0.103716
266,27.412635,0.103301
267,36.582594,0.102888
268,30.181643,0.102476
269,18.862537,0.102067
270,28.042566,0.101658
271,27.146515,0.101252
272,36.679143,0.100847
273,26.189791,0.100443
274,27.504156,0.100041
275,38.712872,0.099641
276,31.335611,0.099243
277,28.348785,0.098846
278,21.431544,0.098450
279,31.349436,0.098057
280,28.480925,0.097664
281,36.243074,0.097274
282,29.287206,0.096885
283,27.042843,0.096497
284,31.893458,0.096111
285,24.932468,0.095727
286,27.097405,0.095344
287,24.792503,0.094962
288,33.957699,0.094582
289,26.971147,0.094204
290,17.753788,0.093827
291,16.374898,0.093452
292,20.773457,0.093078
293,15.302427,0.092706
294,23.430164,0.092335
295,32.689778,0.091966
296,17.668109,0.091598
297,11.176327,0.091231
298,23.497741,0.090867
299,8.477916,0.090503
300,14.306053,0.090141
301,15.791867,0.089781
302,14.843236,0.089421
303,30.351229,0.089064
304,19.568594,0.088707
305,22.125672,0.088353
306,38.476229,0.087999
307,21.902347,0.087647
308,27.924672,0.087297
309,25.648880,0.086947
310,22.504659,0.086600
311,8.075849,0.086253
312,29.833340,0.085908
313,21.997802,0.085565
314,30.516978,0.085222
315,31.002953,0.084881
316,30.574401,0.084542
317,17.078999,0.084204
318,16.241775,0.083867
319,23.470386,0.083531
320,26.475940,0.083197
321,28.101807,0.082865
322,29.152975,0.082533
323,21.609297,0.082203
324,25.786700,0.081874
325,28.280556,0.081547
326,28.583621,0.081220
327,26.871806,0.080896
328,26.058076,0.080572
329,24.646023,0.080250
330,28.066369,0.079929
331,24.438029,0.079609
332,28.467976,0.079291
333,29.107900,0.078973
334,29.193883,0.078658
335,32.451443,0.078343
336,39.290202,0.078030
337,26.470324,0.077717
338,34.729244,0.077407
339,30.736574,0.077097
340,25.855955,0.076789
341,23.409683,0.076481
342,14.747130,0.076175
343,19.824733,0.075871
344,29.301558,0.075567
345,16.768167,0.075265
346,27.572576,0.074964
347,21.872853,0.074664
348,22.726722,0.074365
349,20.453281,0.074068
350,13.718376,0.073772
351,20.067252,0.073477
352,28.691201,0.073183
353,23.096450,0.072890
354,27.460033,0.072598
355,26.466319,0.072308
356,35.333560,0.072019
357,17.438355,0.071731
358,15.383021,0.071444
359,21.398723,0.071158
360,23.405372,0.070873
361,19.645769,0.070590
362,19.254265,0.070308
363,20.975756,0.070026
364,21.444620,0.069746
365,27.269459,0.069467
366,21.395084,0.069189
367,21.100421,0.068913
368,20.369932,0.068637
369,16.109003,0.068362
370,15.740209,0.068089
371,20.584076,0.067817
372,20.654250,0.067545
373,19.749481,0.067275
374,15.697264,0.067006
375,17.468345,0.066738
376,19.831930,0.066471
377,21.602849,0.066205
378,13.332354,0.065940
379,19.049849,0.065677
380,15.941543,0.065414
381,21.100454,0.065152
382,16.186615,0.064892
383,17.925231,0.064632
384,17.755421,0.064374
385,16.852072,0.064116
386,24.059935,0.063860
387,17.029271,0.063604
388,24.257788,0.063350
389,15.758298,0.063096
390,15.439190,0.062844
391,20.333870,0.062593
392,18.800506,0.062342
393,19.253518,0.062093
394,16.988962,0.061844
395,14.165583,0.061597
396,14.095128,0.061351
397,12.804151,0.061105
398,15.514428,0.060861
399,9.712738,0.060617
400,14.235895,0.060375
401,12.537178,0.060133
402,14.207715,0.059893
403,15.346120,0.059653
404,25.010248,0.059415
405,15.265598,0.059177
406,14.825128,0.058940
407,11.175491,0.058705
408,15.793371,0.058470
409,19.484572,0.058236
410,12.684116,0.058003
411,15.951628,0.057771
412,17.758521,0.057540
413,20.067193,0.057310
414,13.947848,0.057080
415,13.873219,0.056852
416,20.499123,0.056625
417,11.703223,0.056398
418,18.176171,0.056173
419,24.611718,0.055948
420,10.183571,0.055724
421,13.484207,0.055501
422,18.945922,0.055279
423,10.906178,0.055058
424,13.134749,0.054838
425,14.070109,0.054619
426,20.017170,0.054400
427,16.943946,0.054182
428,20.451272,0.053966
429,12.731370,0.053750
430,10.977309,0.053535
431,13.578129,0.053321
432,15.113904,0.053107
433,14.598158,0.052895
434,12.209606,0.052683
435,12.551467,0.052473
436,8.348405,0.052263
437,22.155296,0.052054
438,31.217220,0.051846
439,13.035853,0.051638
440,18.588806,0.051432
441,13.836257,0.051226
442,11.331695,0.051021
443,10.348924,0.050817
444,14.425825,0.050614
445,15.510422,0.050411
446,15.468003,0.050210
447,19.830291,0.050009
448,16.442295,0.050000
449,14.214555,0.050000
450,13.988178,0.050000
451,24.113813,0.050000
452,11.597105,0.050000
453,14.249475,0.050000
454,22.359667,0.050000
455,21.059257,0.050000
456,13.720516,0.050000
457,14.283550,0.050000
458,19.308089,0.050000
459,23.813134,0.050000
460,14.421026,0.050000
461,21.907371,0.050000
462,15.728086,0.050000
463,19.062957,0.050000
464,18.707790,0.050000
465,14.773495,0.050000
466,17.236215,0.050000
467,18.087154,0.050000
468,17.462729,0.050000
469,23.762924,0.050000
470,15.208838,0.050000
471,22.054402,0.050000
472,29.588527,0.050000
473,12.555767,0.050000
474,13.523398,0.050000
475,9.723918,0.050000
476,20.869680,0.050000
